Grapheme	IPA	Frequence	Codepoints
əyə	ə y/j ə	1	U+0259 U+0079 U+0259
əə	əː	1	U+0259 U+0259
əʷ	əʷ/əu	34	U+0259 U+02b7
əʷy	əʷ/əu y/j	2	U+0259 U+02b7 U+0079
əː	əː	120	U+0259 U+02d0
ə́	ə́/ə	1	U+0259 U+0301
ɛ	ɛ	28	U+025b
ɛ:	ɛː	1	U+025b U+003a
ɛi	ɛi	1	U+025b U+0069
ɛɪ	ɛɪ	1	U+025b U+026a
ɡ	g	1	U+0261
ɢ	ɢ	6	U+0262
ɣ	ɣ	513	U+0263
ɣs	ɣ s	1	U+0263 U+0073
ɨ	ɨ	80	U+0268
ɨ:	ɨː	1	U+0268 U+003a
ɨɨ	ɨː	46	U+0268 U+0268
ɨː	ɨː	3	U+0268 U+02d0
ɪ	ɪ	1	U+026a
ɬ	ɬ	2	U+026c
ɯ	ɯ	51	U+026f
ɲ	ɲ	13	U+0272
ɴ	ɴ	846	U+0274
ɴs	ɴ s	9	U+0274 U+0073
ɴɴ	ɴɴ/ɴː	3	U+0274 U+0274
ɵ	ɵ	91	U+0275
ɵ:	ɵː	8	U+0275 U+003a
ɵɵ	ɵː	1	U+0275 U+0275
ɵː	ɵː	1	U+0275 U+02d0
ɸ	ɸ	18	U+0278
ɸɸ	ɸɸ/ɸː	2	U+0278 U+0278
ɿ	ɿ	1	U+027f
ʁ	ʁ	29	U+0281
ʂ	ʂ	34	U+0282
ʃ	ʃ	41	U+0283
ʉ	ʉ	27	U+0289
ʉ:	ʉː	1	U+0289 U+003a
ʉi	ʉi	1	U+0289 U+0069
ʉi:	ʉiː	1	U+0289 U+0069 U+003a
ʌ	ʌ	7	U+028c
ʌʊ	ʌʊ	1	U+028c U+028a
ʐ	ʐ	2	U+0290
ʑ	ʑ	5	U+0291
ʒ	ʒ	40	U+0292
ʒʹ	ʒʹ/ʒˀ	3	U+0292 U+02b9
ʔ	ʔ	75	U+0294
ʕ	ʕ	2	U+0295
ʝ	ʝ	1	U+029d
ʣ	dz	34	U+02a3
ʤ	dʒ	353	U+02a4
ʤʤ	ʤʤ/dʒː	2	U+02a4 U+02a4
ʥ	dʑ	48	U+02a5
ʦ	ts	2	U+02a6
ʧ	tʃ	25	U+02a7
ʨ	tɕ	27	U+02a8
ʨh	ʨh/tɕʰ	1	U+02a8 U+0068
ˈa	a	1	U+02c8 U+0061
ˈx	x	1	U+02c8 U+0078
ͻ	ɔ	29	U+037b
ͻː	ɔː	7	U+037b U+02d0
ͻːh	ͻː/ɔː h	1	U+037b U+02d0 U+0068
ͻːs	ɔː s	1	U+037b U+02d0 U+0073
β	β	10	U+03b2
γ	γ/ɣ	11	U+03b3
δ	δ/ð	22	U+03b4
ε	ɛ	3	U+03b5
εi	ɛi	3	U+03b5 U+0069
θ	θ	33	U+03b8
κ	κ/q	21	U+03ba
κw	κ/q w	2	U+03ba U+0077
κκ	κκ/qː	1	U+03ba U+03ba
μ	μ/m	3	U+03bc
π	π/p	7	U+03c0
τ	τ/t	16	U+03c4
ττ	ττ/tː	1	U+03c4 U+03c4
χ	χ	326	U+03c7
χs	χ s	4	U+03c7 U+0073
а	а/a	8	U+0430
б	б/b	3	U+0431
в	ʙ	2	U+0432
г	г/g	2	U+0433
д	д/d	5	U+0434
е	е/e	22	U+0435
е:	еː/e:	1	U+0435 U+003a
ж	ж/ʒ	2	U+0436
з	з/ɜ	1	U+0437
и	и/i	1	U+0438
к	к/q	1	U+043a
л	л/l	1	U+043b
н	н/ʜ	3	U+043d
о	o	2	U+043e
о:	oː	1	U+043e U+003a
р	р/r	6	U+0440
с	c/s	1	U+0441
у	j	4	U+0443
у:	yː	3	U+0443 U+003a
ф	ф/ɸ	1	U+0444
х	x	3	U+0445
ч	ч/tʃ	1	U+0447
ш	ш/ʃ	2	U+0448
ы	ы/ɨ	1	U+044b
э	э/ɜ	3	U+044d
ё	ё/ə	1	U+0451
ү	ɣ	1	U+04af
ө	ө/θ	1	U+04e9
ḳ	ḳ/q	1397	U+1e33
ḳs	ḳ/q s	4	U+1e33 U+0073
ḳḳ	ḳḳ/qː	4	U+1e33 U+1e33
ḿ	ḿ/m	1	U+1e3f
ẹ	ẹ/e	1	U+1eb9
ị	ị/ɨ	137	U+1ecb
ịs	ị/ɨ s	6	U+1ecb U+0073
ịsịs	ị/ɨ s ị/ɨ s	1	U+1ecb U+0073 U+1ecb U+0073
ọ	ọ/o	77	U+1ecd
ọs	ọ/o s	6	U+1ecd U+0073
ọː	ọː/oː	33	U+1ecd U+02d0
ọːs	ọː/oː s	2	U+1ecd U+02d0 U+0073
ụ	ụ/u	115	U+1ee5
ụ:	ụː/uː	1	U+1ee5 U+003a
ụh	ụ/u h	1	U+1ee5 U+0068
ụː	ụː/uː	3	U+1ee5 U+02d0
ỹ	ỹ	1	U+1ef9
’	’/ʔ	42	U+2019
’s	ˀs	1	U+2019 U+0073
：	NULL	1	U+ff1a
