ID,Form_ID,Form,Cognateset_ID,Doubt,Cognate_Detection_Method,Source,Alignment,Alignment_Method,Alignment_Source,Root
NorthernHamgyong-1_firen-1-1,NorthernHamgyong-1_firen-1,pwul,2,false,expert,,,,,*pɨr 
NorthernJeolla-1_firen-1-1,NorthernJeolla-1_firen-1,pwul,2,false,expert,,,,,*pɨr 
NorthernPyongan-1_firen-1-1,NorthernPyongan-1_firen-1,pwul,2,false,expert,,,,,*pɨr 
OkinawaShuri-1_firen-1-1,OkinawaShuri-1_firen-1,hwii,2,false,expert,,,,,*pɨr 
OkinawaYonamine-1_firen-1-1,OkinawaYonamine-1_firen-1,πii,2,false,expert,,,,,*pɨr 
SouthernChungcheong-1_firen-1-1,SouthernChungcheong-1_firen-1,pwul,2,false,expert,,,,,*pɨr 
SouthernGyeongsang-1_firen-1-1,SouthernGyeongsang-1_firen-1,pwul,2,false,expert,,,,,*pɨr 
SouthernHamgyong-1_firen-1-1,SouthernHamgyong-1_firen-1,pwul,2,false,expert,,,,,*pɨr 
SouthernJeolla-1_firen-1-1,SouthernJeolla-1_firen-1,pwul,2,false,expert,,,,,*pɨr 
SouthernPyongan-1_firen-1-1,SouthernPyongan-1_firen-1,pwul,2,false,expert,,,,,*pɨr 
YaeyamaHatoma-1_firen-1-1,YaeyamaHatoma-1_firen-1,pii,2,false,expert,,,,,*pɨr 
YaeyamaIshigaki-1_firen-1-1,YaeyamaIshigaki-1_firen-1,pïï,2,false,expert,,,,,*pɨr 
Yonaguni-1_firen-1-1,Yonaguni-1_firen-1,ccìi,2,false,expert,,,,,*pɨr 
EasternEvenki-1_firen-1-1,EasternEvenki-1_firen-1,togo,3,false,expert,,,,,*toga
Even-1_firen-1-1,Even-1_firen-1,tọg,3,false,expert,,,,,*toga
EvenkiKamnigan-1_firen-1-1,EvenkiKamnigan-1_firen-1,togo,3,false,expert,,,,,*toga
Hezhe-1_firen-1-1,Hezhe-1_firen-1,to,3,false,expert,,,,,*toga
Jurchen-1_firen-1-1,Jurchen-1_firen-1,ta,3,false,expert,,,,,*toga
KurUrmi-1_firen-1-1,KurUrmi-1_firen-1,toː,3,false,expert,,,,,*toga
Manchu-1_firen-1-1,Manchu-1_firen-1,tuwa,3,false,expert,,,,,*toga
NanaiBikin-1_firen-1-1,NanaiBikin-1_firen-1,tao,3,false,expert,,,,,*toga
NanaiMiddleAmur-1_firen-1-1,NanaiMiddleAmur-1_firen-1,tawa,3,false,expert,,,,,*toga
Negidal-1_firen-1-1,Negidal-1_firen-1,togo,3,false,expert,,,,,*toga
NorthernEvenkiTura-1_firen-1-1,NorthernEvenkiTura-1_firen-1,togo,3,false,expert,,,,,*toga
NorthernEvenkiTutonchany-1_firen-1-1,NorthernEvenkiTutonchany-1_firen-1,togo,3,false,expert,,,,,*toga
Oroch-1_firen-1-1,Oroch-1_firen-1,toː,3,false,expert,,,,,*toga
Orok-1_firen-1-1,Orok-1_firen-1,tawa,3,false,expert,,,,,*toga
Oroqen-1_firen-1-1,Oroqen-1_firen-1,tɔgɔ,3,false,expert,,,,,*toga
Solon-1_firen-1-1,Solon-1_firen-1,tͻg,3,false,expert,,,,,*toga
SouthernEvenkiChiringda-1_firen-1-1,SouthernEvenkiChiringda-1_firen-1,toγo,3,false,expert,,,,,*toga
SouthernEvenkiVershinaTuturyBaikal-1_firen-1-1,SouthernEvenkiVershinaTuturyBaikal-1_firen-1,togo,3,false,expert,,,,,*toga
StonyEvenkiPTPodkamennayaTunguska-1_firen-1-1,StonyEvenkiPTPodkamennayaTunguska-1_firen-1,towo,3,false,expert,,,,,*toga
Udihe-1_firen-1-1,Udihe-1_firen-1,toː,3,false,expert,,,,,*toga
Ulcha-1_firen-1-1,Ulcha-1_firen-1,tawa,3,false,expert,,,,,*toga
Xibe-1_firen-1-1,Xibe-1_firen-1,tua,3,false,expert,,,,,*toga
Baoan-1_firen-1-1,Baoan-1_firen-1,xal,4,false,expert,,,,,*gal
Buriat-1_firen-1-1,Buriat-1_firen-1,gal,4,false,expert,,,,,*gal
Dagur-1_firen-1-1,Dagur-1_firen-1,gali,4,false,expert,,,,,*gal
Dongxian-1_firen-1-1,Dongxian-1_firen-1,qan,4,false,expert,,,,,*gal
Huzhu-1_firen-1-1,Huzhu-1_firen-1,ghal,4,false,expert,,,,,*gal
Kalmyck-1_firen-1-1,Kalmyck-1_firen-1,gal,4,false,expert,,,,,*gal
Kamnigan-1_firen-1-1,Kamnigan-1_firen-1,gal,4,false,expert,,,,,*gal
Kangjia-1_firen-1-1,Kangjia-1_firen-1,χar,4,false,expert,,,,,*gal
Khalkha-1_firen-1-1,Khalkha-1_firen-1,gal,4,false,expert,,,,,*gal
MiddleMongolianMuqaddimataladab-1_firen-1-1,MiddleMongolianMuqaddimataladab-1_firen-1,үal,4,false,expert,,,,,*gal
MiddleMongolianSecretHistory-1_firen-1-1,MiddleMongolianSecretHistory-1_firen-1,qal,4,false,expert,,,,,*gal
Minhe-1_firen-1-1,Minhe-1_firen-1,ghar,4,false,expert,,,,,*gal
Moghol-1_firen-1-1,Moghol-1_firen-1,ɣo:l,4,false,expert,,,,,*gal
Oirat-1_firen-1-1,Oirat-1_firen-1,hal,4,false,expert,,,,,*gal
ShiraYughur-1_firen-1-1,ShiraYughur-1_firen-1,Gal,4,false,expert,,,,,*gal
