ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family,InAnalysis
NorthernPyongan,Northern Pyongan,pyon1239,P'yong'ando,kor,Eurasia,40.06,124.24,Koreanic,1
Oirat,Oirat,,,,,49.3,92.3,Mongolic,1
OkinawaShuri,Okinawa Shuri,shur1243,Shuri,ryu,Eurasia,26.12,127.4,Japonic,1
OkinawaYonamine,Okinawa Yonamine,kuni1268,Kunigami,xug,Eurasia,26.4,127.58,Japonic,1
OldJapanese,Old Japanese,oldj1239,Old Japanese,ojp,Eurasia,47.33,102.49,Japonic,1
OldTurkic,OldTurkic,oldu1238,Old Turkic,oui,Eurasia,50.32,137.85,Turkic,1
Oroch,Oroch,oroc1248,Oroch,oac,Eurasia,49.36,143.13,Tungusic,1
Orok,Orok,orok1265,Orok,oaa,Eurasia,,,Tungusic,1
Oroqen,Oroqen,oroq1238,Oroqen,orh,Eurasia,50.63,125.02,Tungusic,1
Salar,Salar,sala1264,Salar,slr,Eurasia,35.55,102.82,Turkic,1
ShiraYughur,Shira-Yughur,east2337,East Yugur,yuy,Eurasia,37.99,101.76,Mongolic,1
Shor,Shor,shor1247,Shor,cjs,Eurasia,52.33,88.43,Turkic,1
Solon,Solon,solo1263,Solon,,Eurasia,48.17,119.49,Tungusic,1
SouthAltai,SouthAltai,sout2694,Southern Altai,alt,Eurasia,50.13,86.87,Turkic,1
SouthernChungcheong,Southern Chungcheong,chun1247,Ch'ungch'ongdo,kor,Eurasia,36.35,126.39,Koreanic,1
SouthernEvenkiChiringda,Southern Evenki (Chiringda),hiss1234,Hissing Evenki,,Eurasia,53.3,108,Tungusic,1
SouthernGyeongsang,Southern Gyeongsang,kyon1247,Kyongsangdo,kor,Eurasia,35.15,128.15,Koreanic,1
SouthernHamgyong,Southern Hamgyong,hamg1238,Hamgyongdo,kor,Eurasia,39.55,127.32,Koreanic,1
SouthernJeolla,Southern Jeolla,chol1278,Jollado,kor,Eurasia,34.98,126.47,Koreanic,1
SouthernPyongan,Southern Pyongan,pyon1239,P'yong'ando,kor,Eurasia,39.15,125.51,Koreanic,1
StonyEvenkiPTPodkamennayaTunguska,Stony Evenki (PT = Podkamennaya Tunguska),hiss1234,Hissing Evenki,,Eurasia,61.59,94.39,Tungusic,1
Tofa,Tofa,tofa1248,Tofa,,Eurasia,54.16,101.31,Turkic,1
Turkish,Turkish,nucl1301,Turkish,tur,Eurasia,39.87,32.87,Turkic,1
Turkmen,Turkmen,turk1304,Turkmen,tuk,Eurasia,37.09,59.18,Turkic,1
Tuvan,Tuvan,tuvi1240,Tuvinian,tyv,Eurasia,51.7,94.37,Turkic,1
Udihe,Udihe,udih1248,Udihe,ude,Eurasia,46.63,135.68,Tungusic,1
Ulcha,Ulcha,ulch1242,Ulchaic,,,51.85,140.29,Tungusic,1
Uyghur,Uyghur,uigh1240,Uighur,uig,Eurasia,43.88,87.38,Turkic,1
Uzbek,Uzbek,uzbe1247,Uzbek,uzb,Eurasia,40.89,69.21,Turkic,1
WestYugur,WestYugur,west2402,West Yugur,ybe,Eurasia,39.05,99.31,Turkic,1
Xibe,Xibe,xibe1242,Xibe,sjo,Eurasia,43.59,81,Tungusic,1
YaeyamaHatoma,Yaeyama Hatoma,hato1238,Hatoma,rys,Eurasia,24.17,123.51,Japonic,1
YaeyamaIshigaki,Yaeyama Ishigaki,ishi1240,Ishigaki,rys,Eurasia,24.2,124.09,Japonic,1
Yakut,Yakut,yaku1245,Sakha,sah,Eurasia,61.7,133.98,Turkic,1
Yonaguni,Yonaguni,yona1241,Yonaguni,yoi,Eurasia,24.28,123,Japonic,1
