ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile
Baoan-1_firen-1,,Baoan,1_firen,xal,xal,x a l,,,4,,^ x a l $,default
Buriat-1_firen-1,,Buriat,1_firen,gal,gal,g a l,,,4,,^ g a l $,default
Dagur-1_firen-1,,Dagur,1_firen,gali,gali,g a l i,,,4,,^ g a l i $,default
Dongxian-1_firen-1,,Dongxian,1_firen,qan,qan,q a n,,,4,,^ q a n $,default
Huzhu-1_firen-1,,Huzhu,1_firen,ghal,ghal,g h a l,,,4,,^ gh a l $,default
Kalmyck-1_firen-1,,Kalmyck,1_firen,gal,gal,g a l,,,4,,^ g a l $,default
Kamnigan-1_firen-1,,Kamnigan,1_firen,gal,gal,g a l,,,4,,^ g a l $,default
Kangjia-1_firen-1,,Kangjia,1_firen,χar,χar,χ a r,,,4,,^ χ a r $,default
Khalkha-1_firen-1,,Khalkha,1_firen,gal,gal,g a l,,,4,,^ g a l $,default
MiddleMongolianMuqaddimataladab-1_firen-1,,MiddleMongolianMuqaddimataladab,1_firen,үal,үal,ɣ a l,,,4,,^ ү a l $,default
MiddleMongolianSecretHistory-1_firen-1,,MiddleMongolianSecretHistory,1_firen,qal,qal,q a l,,,4,,^ q a l $,default
Minhe-1_firen-1,,Minhe,1_firen,ghar,ghar,g h a r,,,4,,^ gh a r $,default
Moghol-1_firen-1,,Moghol,1_firen,ɣo:l,ɣo:l,ɣ oː l,,,4,,^ ɣ o: l $,default
Oirat-1_firen-1,,Oirat,1_firen,hal,hal,h a l,,,4,,^ h a l $,default
ShiraYughur-1_firen-1,,ShiraYughur,1_firen,Gal,Gal,ɢ a l,,,4,,^ G a l $,default
Azeri-1_firen-1,,Azeri,1_firen,od,od,o d,,,5,,^ o d $,default
BarabaTatar-1_firen-1,,BarabaTatar,1_firen,ot,ot,o t,,,5,,^ o t $,default
Bashkir-1_firen-1,,Bashkir,1_firen,ut,ut,u t,,,5,,^ u t $,default
Chuvash-1_firen-1,,Chuvash,1_firen,vut,vut,v u t,,,5,,^ v u t $,default
CodexCumanicus-1_firen-1,,CodexCumanicus,1_firen,ot,ot,o t,,,5,,^ o t $,default
Dolgan-1_firen-1,,Dolgan,1_firen,uot,uot,u/w o t,,,5,,^ uo t $,default
KarachayBalkar-1_firen-1,,KarachayBalkar,1_firen,ot,ot,o t,,,5,,^ o t $,default
Karaim-1_firen-1,,Karaim,1_firen,ot,ot,o t,,,5,,^ o t $,default
KaraKalpak-1_firen-1,,KaraKalpak,1_firen,ot,ot,o t,,,5,,^ o t $,default
Kazakh-1_firen-1,,Kazakh,1_firen,ot,ot,o t,,,5,,^ o t $,default
KazanTatar-1_firen-1,,KazanTatar,1_firen,ut,ut,u t,,,5,,^ u t $,default
Khakas-1_firen-1,,Khakas,1_firen,ot,ot,o t,,,5,,^ o t $,default
Khalaj-1_firen-1,,Khalaj,1_firen,hu:ot,hu:ot,h uːo t,,,5,,^ h u:o t $,default
Kirghiz-1_firen-1,,Kirghiz,1_firen,ot,ot,o t,,,5,,^ o t $,default
Kumyk-1_firen-1,,Kumyk,1_firen,ot,ot,o t,,,5,,^ o t $,default
MiddleChulym-1_firen-1,,MiddleChulym,1_firen,ot,ot,o t,,,5,,^ o t $,default
Nogai-1_firen-1,,Nogai,1_firen,ot,ot,o t,,,5,,^ o t $,default
NorthAltai-1_firen-1,,NorthAltai,1_firen,ot,ot,o t,,,5,,^ o t $,default
OldTurkic-1_firen-1,,OldTurkic,1_firen,ot,ot,o t,,,5,,^ o t $,default
Salar-1_firen-1,,Salar,1_firen,ot,ot,o t,,,5,,^ o t $,default
Shor-1_firen-1,,Shor,1_firen,ot,ot,o t,,,5,,^ o t $,default
SouthAltai-1_firen-1,,SouthAltai,1_firen,ot,ot,o t,,,5,,^ o t $,default
Tofa-1_firen-1,,Tofa,1_firen,ot,ot,o t,,,5,,^ o t $,default
Turkmen-1_firen-1,,Turkmen,1_firen,o:t,o:t,oː t,,,5,,^ o: t $,default
Tuvan-1_firen-1,,Tuvan,1_firen,ot,ot,o t,,,5,,^ o t $,default
Uyghur-1_firen-1,,Uyghur,1_firen,ot,ot,o t,,,5,,^ o t $,default
WestYugur-1_firen-1,,WestYugur,1_firen,ot,ot,o t,,,5,,^ o t $,default
Yakut-1_firen-1,,Yakut,1_firen,uot,uot,u/w o t,,,5,,^ uo t $,default
CrimeanTatar-1_firen-1,,CrimeanTatar,1_firen,ateš bor,ateš_bor,a t e š/ʃ + b o r,,,6,,^ a t e š _ b o r $,default
Gagauz-1_firen-1,,Gagauz,1_firen,ateš bor,ateš_bor,a t e š/ʃ + b o r,,,6,,^ a t e š _ b o r $,default
Turkish-1_firen-1,,Turkish,1_firen,ateš bor,ateš_bor,a t e š/ʃ + b o r,,,6,,^ a t e š _ b o r $,default
Uzbek-1_firen-1,,Uzbek,1_firen,ɔlɔv bor,ɔlɔv_bor,ɔ l ɔ v + b o r,,,7,,^ ɔ l ɔ v _ b o r $,default
AmamiAsama-2_nosen-1,,AmamiAsama,2_nosen,hanaa,hanaa,h a n aː,,,8,,^ h a n aa $,default
AmamiYamatohama-2_nosen-1,,AmamiYamatohama,2_nosen,hana,hana,h a n a,,,8,,^ h a n a $,default
AmamiYoron-2_nosen-1,,AmamiYoron,2_nosen,pana,pana,p a n a,,,8,,^ p a n a $,default
Fukuoka-2_nosen-1,,Fukuoka,2_nosen,hana,hana,h a n a,,,8,,^ h a n a $,default
Hachijo-2_nosen-1,,Hachijo,2_nosen,hana,hana,h a n a,,,8,,^ h a n a $,default
Japanese-2_nosen-1,,Japanese,2_nosen,hana,hana,h a n a,,,8,,^ h a n a $,default
Kagoshima-2_nosen-1,,Kagoshima,2_nosen,hana,hana,h a n a,,,8,,^ h a n a $,default
Koshikiislands-2_nosen-1,,Koshikiislands,2_nosen,hana,hana,h a n a,,,8,,^ h a n a $,default
Kumamoto-2_nosen-1,,Kumamoto,2_nosen,hana,hana,h a n a,,,8,,^ h a n a $,default
MiyakoIrabu-2_nosen-1,,MiyakoIrabu,2_nosen,pana,pana,p a n a,,,8,,^ p a n a $,default
OkinawaShuri-2_nosen-1,,OkinawaShuri,2_nosen,hana,hana,h a n a,,,8,,^ h a n a $,default
OkinawaYonamine-2_nosen-1,,OkinawaYonamine,2_nosen,panaa,panaa,p a n aː,,,8,,^ p a n aa $,default
OldJapanese-2_nosen-1,,OldJapanese,2_nosen,pana,pana,p a n a,,,8,,^ p a n a $,default
YaeyamaHatoma-2_nosen-1,,YaeyamaHatoma,2_nosen,pana,pana,p a n a,,,8,,^ p a n a $,default
YaeyamaIshigaki-2_nosen-1,,YaeyamaIshigaki,2_nosen,hana ~ pana,hana,h a n a,,,8,,^ h a n a $,default
Yonaguni-2_nosen-1,,Yonaguni,2_nosen,hánaburu,hánaburu,h á/a n a b u r u,,,8,,^ h á n a b u r u $,default
Gangwon-2_nosen-1,,Gangwon,2_nosen,kho,kho,kʰ o,,,9,,^ kh o $,default
Gyeonggi-2_nosen-1,,Gyeonggi,2_nosen,kho,kho,kʰ o,,,9,,^ kh o $,default
Hwanghae-2_nosen-1,,Hwanghae,2_nosen,kho,kho,kʰ o,,,9,,^ kh o $,default
Jeju-2_nosen-1,,Jeju,2_nosen,kho,kho,kʰ o,,,9,,^ kh o $,default
Korean-2_nosen-1,,Korean,2_nosen,kho,kho,kʰ o,,,9,,^ kh o $,default
LateMiddleKorean-2_nosen-1,,LateMiddleKorean,2_nosen,kho,kho,kʰ o,,,9,,^ kh o $,default
NorthernChungcheong-2_nosen-1,,NorthernChungcheong,2_nosen,kho,kho,kʰ o,,,9,,^ kh o $,default
NorthernGyeongsang-2_nosen-1,,NorthernGyeongsang,2_nosen,kho,kho,kʰ o,,,9,,^ kh o $,default
NorthernHamgyong-2_nosen-1,,NorthernHamgyong,2_nosen,kho,kho,kʰ o,,,9,,^ kh o $,default
NorthernJeolla-2_nosen-1,,NorthernJeolla,2_nosen,kho,kho,kʰ o,,,9,,^ kh o $,default
NorthernPyongan-2_nosen-1,,NorthernPyongan,2_nosen,kho,kho,kʰ o,,,9,,^ kh o $,default
SouthernChungcheong-2_nosen-1,,SouthernChungcheong,2_nosen,kho,kho,kʰ o,,,9,,^ kh o $,default
SouthernGyeongsang-2_nosen-1,,SouthernGyeongsang,2_nosen,kho,kho,kʰ o,,,9,,^ kh o $,default
SouthernHamgyong-2_nosen-1,,SouthernHamgyong,2_nosen,kho,kho,kʰ o,,,9,,^ kh o $,default
SouthernJeolla-2_nosen-1,,SouthernJeolla,2_nosen,kho,kho,kʰ o,,,9,,^ kh o $,default
SouthernPyongan-2_nosen-1,,SouthernPyongan,2_nosen,kho,kho,kʰ o,,,9,,^ kh o $,default
