Number,Meaning,MRCA Root,BarabaTatar,CodexCumanicus,NorthAltai,OldTurkic,SouthAltai,Azeri,Bashkir,Chuvash,CrimeanTatar,Dolgan,Gagauz,KaraKalpak,KarachayBalkar,Karaim,Kazakh,Khakas,Khalaj,Kirghiz,Kumyk,MiddleChulym,Nogai,Salar,WestYugur,Shor,KazanTatar,Tofa,Turkish,Turkmen,Tuvan,Uyghur,Uzbek,Yakut,Khalkha,Buriat,Kalmyck,Oirat,Kamnigan,Dagur,Shira-Yughur,Baoan,Dongxian,Minhe,Huzhu,Kangjia,Moghol,Middle Mongolian (Secret History),Middle Mongolian (Muqaddimat al-adab),Hezhe,Oroch,Udihe,Nanai (Middle Amur),Kur-Urmi,Nanai (Bikin),Orok,Ulcha,Jurchen,Manchu,Xibe,Even,Solon,Evenki (Kamnigan),Stony Evenki (PT = Podkamennaya Tunguska),Southern Evenki (Chiringda),Northern Evenki (Tutonchany),Northern Evenki (Tura),Negidal,Oroqen,Korean,Hwanghae,Southern Hamgyong,Northern Hamgyong,Southern Pyongan,Northern Pyongan,Jeju,Southern Jeolla,Northern Jeolla,Southern Gyeongsang,Northern Gyeongsang,Southern Chungcheong,Northern Chungcheong,Gyeonggi,Gangwon,(Late) Middle Korean,Japanese,Old Japanese,Amami Yamatohama ,Amami Asama,Amami Yoron,Okinawa Yonamine,Okinawa Shuri,Miyako Irabu,Yaeyama Ishigaki,Yaeyama Hatoma,Yonaguni,Kagoshima,Koshiki islands,Kumamoto,Fukuoka,Hachijo,,,,,,,,Eastern Evenki ,,"Southern Evenki  (Vershina-Tutury, Baikal)",
43.0,black,*neg-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ńegčeńe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43.0,black,*naŋgata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,naŋgata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43.0,black,*koŋna-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hͻnnͻ.riŋ,koŋno.rin,koŋno-mo,koŋnomo,koŋnomo,koňnomo,koŋni-jiːn ~ koŋno-jiːn,kɔŋnɔ-ren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,koŋno-mo,koŋnomo,,
43.0,black,*ḳara,ḳara,kara,ḳara,ḳara,ḳara,ġara,ḳara,χura,ḳara,kara,kara,ḳara,ḳara,kara,ḳara,χara,ḳara,ḳara,ḳara,ḳara,ḳara,ḳara,ḳara,ḳara,ḳara,ḳara,kara,ġara,ḳara,ḳara,ḳɔra,χara,xar,xara,xar,xara,kara,xar,xara,xara,qara,khara,xara,χara,qarō,qara,qara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44.0,navel (n.),*pəsə ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,heso,poso ,husu,husjuu,pusu,pusuu,husi,pusu ,pusu,buccu,húsu,heso,heso,heso,heso,hettɕogo,,,,,,,,,,,
44.0,navel (n.),*pʌy-s-pok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paykkop,paykkop,paykkop,paykkop,paykkop,paykkop,,paykkop,paykkop,paykkop,,paykkop,paykkop,paykkop,paykkop,poyspok,,,,,,,,,,,,,,,,,,,,,,,,,,,
44.0,navel (n.),*pʌy-s-tolong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,payttolong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44.0,navel (n.),*pʌy-s-kuyeng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paykkwuyeng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44.0,navel (n.),*xulŋu ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hujmu,,,hunu,huńu,ələŋgu,uləŋgu,uluŋ,,,,,,,,uŋńən,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44.0,navel (n.),*čuŋ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,čuŋəli,čụŋụ,coŋo,,čuŋuru,cumuru ~ cuŋguru,,,,čuŋguru,,,šəŋur,cuŋur,čuŋurəː,čumurǝ,śumurə,čuňrè,čoŋojo ~ čuŋojo,čụŋŋụrụ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,čuŋurəː,ʧʉŋʉrəː,,
44.0,navel (n.),*ko:leke bor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,koːleke bor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44.0,navel (n.),*köyil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,xüys(en),xüyhe(n),kiisn,kise:n,küjsün,kuise,kyysən,ki:sɵŋ,kuisun,kuaizi,kuiidzə,,,,küisün,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44.0,navel (n.),*diya bor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"dija, ʂdeja bor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44.0,navel (n.),*ki:n,kändik,,kindig,kindik,ḳïn,,kendek,,,,,kindik,kindik,kindik,kĭndĭk,kɘn,kündik,kindik,ginnik,kəndɘk,kindik,kintiχ,ḳïndïḳ,kindik,kendek,hin,,,χin,kindik,kindik,ki:n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44.0,navel (n.),*kö:pek,,,,,,köbäk,,kəʷvaba,kobek,,göbek,,,,,,,,,,,,,,,,göbek,göbek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.0,stand (v.),*tata-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tat-,tat-,θaθuri,tacjuɴ,tacjuɴ,tacuɴ,tacuɴ,tacï  ,tacuɴ,tatuɴ,thàtun,taʔ,tatsu,tatsu,tatsu,tatsu,,,,,,,,,,,
45.0,stand (v.),*sye-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,se-,se-,se-,se-,se-,se-,san-,,se-,se-,,,,se-,se-,sye-,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.0,stand (v.),*il-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ili-,ili-si-,ili- ~ ili-si-,ele-se-,el-čị-,ịlị.sị-,ili-,el-so-,ili,ili-,ila-,il-gem-,ila-,iliː-,ili-t-,il-,ili-,ili-t-,eli-t- ~ eli-č- ~ ili-t- ~ ili-č-,ele-,,,,,,,,innata,,,ilnanta,ilnata,ilnata,,,,,,,,,,,,,,,,,,,,,,,,,,,ili-t-,ili-t-,il-,il-
45.0,stand (v.),*ǰogso-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ʒogso-,zogso-,zohs-,zogso-,ʒogso­-,,dʒoGGui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.0,stand (v.),*bayi-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,baj-,bai-,bai- ,bi:,bаi,bai,bai ,bei,bεi-,baiyi-,bai-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.0,stand (v.),*tur-,tOr,tur,tur,tur,tur,dur,tor,təʷr,tur,tur,dur,tur,tur,tur,tur,tur,tur,tur,tur,tur,tur,dïr,tur,tur,tor,tur,dur,dur,tur,tur,tur,tur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.0,bite (v.),*kupa-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kuuri,Kuujuɴ,kuujuɴ,κuuruɴ,kuujuɴ,fuu,hoosïɴ,huuɴ,,,,,,,,,,,,,,,,,
46.0,bite (v.),*mɨl-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mwul-,mwul-,kkaymwulta,kkymwulta,kkaymwulta,kkaymwulta,mwun-,mwul-,mwul-,mwul-,kkaymwulta,mwul-,mwul-,mwul-,kkaymwulta,mul-,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.0,bite (v.),*čanə-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,čanə-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.0,bite (v.),*sepke-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,səppən-,,səkpən-,səpkə.nə-,,,səqpən-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.0,bite (v.),*ikte-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,iktə-mə-,,,,iktəmən-,iqtəmən-,,,,iːt-men-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.0,bite (v.),*sia-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,säː-,,,,sai-,sa-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.0,bite (v.),*u-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,u-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.0,bite (v.),*kik-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hihe-,kiki-,kik-,kik-,kiki-,kik-,kek- ~ kik-,kek-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kik-,kɨk-,,
46.0,bite (v.),*kaǰa-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,xaʒa-,xaza-,xaz-,xaza-,xaʒa-,,Gadʒa,,qaʥa,ghazha,Gadʑa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.0,bite (v.),*ǰagu-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ʒu:,zu:,zu:-,zu:-,ʒō-,ǯōgu,dʒuu,ʥu,dʐao,zhao,dʑauu,ʤiu,ǯau-,,ja'u:-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.0,bite (v.),*keme-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kaməl-,,,,,,,kemile-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kamuŋ,kam-,kam-,,,,,,,,,khàmun,"kan, kantsuʔ",kamu,,,,,,,,,,,,,,
46.0,bite (v.),*ti:ĺla-,,tisla,tište,tišle,tište,dišlä,tešlä,,tišle,,,tisle,,tišle,tĭste,,,tištö,,,tisle,čï:šle,teste,,tešlä,,,dišle,,čišlä,tišla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.0,bite (v.),*kap-,,,,,,ġap,,,,,,,ḳap,,ḳap,,,,χap,ḳap,ḳap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.0,bite (v.),*ïsïr-,,,,,,,,,,ïtïr,,,,,,ïzïr,,,,,,,,ïzïr,,ïˁsïr,ïsïr,,ïzïr,,,ïtïr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.0,bite (v.),*ta:la-,,,,,,,,,,,dala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.0,bite (v.),*yïrt-,,,,,,,,śïrt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.0,bite (v.),*gå:zla bor, ,,,,,,,,,,,,,,,,gå:zla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47.0,back (n.),*pentaka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hedaka,,,,,,,,,,,
47.0,back (n.),*usirə,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uɕito,uɕiro,,,,,,,,,,,,,,
47.0,back (n.),*səCi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,se,se,,,,,,,,,,,,ɕenaka,ɕenaka,,,,,,,,,,,,
47.0,back (n.),*kəsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,xusi,,husi-ɴjaa,husii ,kusi,kusa-mni,kusï,kusi-naka,khúci-buni,,,gotjaː,,,,,,,,,,,,,
47.0,back (n.),*kansi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kazɨɨ,,,,,,,,,,,,,,,,,,,,,,,
47.0,back (n.),*nanka-ari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nagaarii,,,,,,,,,,,,,,,,,,,,,
47.0,back (n.),*tɨng  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tung,tung,tung,tung,tung,tung,tungttayngi,tung,tung,tung,tung,tung,tung,tung,tung,tungeli,,,,,,,,,,,,,,,,,,,,,,,,,,,
47.0,back (n.),*darama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,darma,daːma,,darama,darma,darama ~ darma,darama,,,dara,darəm,,daram,,,,,,dajama,darama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47.0,back (n.),*niki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,niki(n),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47.0,back (n.),*pisa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fisa,fisa,fisa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47.0,back (n.),*sogda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sogdondo,səgdənnə ~ sogdon ~ sogdonno,hogdondo,hondondo,sogdonno,,šigdə,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,səgdənnə ~ sogdonno,səɣdənːə ~ soɣdonːo,sognonɲo,
47.0,back (n.),*niru-ɣun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nuru:(n),nyurgan,nurhn,nurhan,niru:(n),niro:,nuruun,,nurun,nuru,"nurɘ, nuru",nuru,,niru'u(n),niru:n,,,,,,,,,,,,ńiri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47.0,back (n.),*ŋgasəg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ŋgasəg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47.0,back (n.),*ar-ka,arɣa,archa,arḳa,arḳa,,arχa,arḳa,,arḳa,,arka,arḳa,,arka,arḳa,arɣa,arḳa,arḳa,arḳa,,arḳa,arɣa,arḳa,,arḳa,,arka,arḳa,,arḳa,ɔrḳa,,,,,,ara,arxen,,,,,,,,,,,akka(n),aka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47.0,back (n.),*oŋur-t-ka,,,,,,,,,,,,,,,,,,,,,,,,,,o:rha,,,o:rɣa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47.0,back (n.),*yagrïn,,,,,,,,śurəm,,,,,,,,,,,,ča:rən,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47.0,back (n.),*kökü-ŕ,,,,,,,,,,,,,,,,,,,,,,,,köksü,,,,,,,,köɣüs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47.0,back (n.),*yïĺ,,,,,,,,,,his,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47.0,back (n.),*bel-k ,,,bel,,bel,,,,,,,,,,bel,,,,,päl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47.0,back (n.),*sïr-t,,,sïrt,,,,,,,,,,sïrt,,,,,,,,,,,,sïrt,,sïrt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48.0,wind (n.),*kansaCi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kaze,kaze,xaze,kazjɨɨ,hadi,hazii,kazi,kazi,kazi,kazi,khádi,kadze,kadʑe  (archaic),kaʑe,kadʑe,kadze,,,,,,,,,,,
48.0,wind (n.),*pʌl-ʌm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,palam,palam,palam,palam,palam,palam,pelum,palam,palam,palaym,palam,palam,palam,palam,palam,polom,,,,,,,,,,,,,,,,,,,,,,,,,,,
48.0,wind (n.),*xedü-n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ədin,ədi(n),ədi,hədun,ədin,hədu(n),hədu(n),hədu(n),ədu,ədun,udun,eden,ədiŋ,ədin,ədyn,,ədɨn,èdin,ədin,ədin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ədyn,ədɨn,ədɨn,
48.0,wind (n.),*salkin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,salxi(n),halxin,sal'kn,sal'kin,halkin ,,salGən,,,,salki:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48.0,wind (n.),*key,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kein,ki:,ki:,kəi,khaj,kii,"ke, ki",kei,kei,ki:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48.0,wind (n.),*yẹl,yĕl,yel,,yẹl,,yel,yel,śil,yel,,,žel,ǰel,yel,žel,čil,yel,,yel,čäl,yel,yel,yil,,ǰil,,,yel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48.0,wind (n.),*tabul,,,,,,,,,,tïal,,,,,,,,,,,,,,,,,,,,,,tïal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48.0,wind (n.),*kad,,,,,,,,,,,,,,,,,,,,,,,,,,ḳat,,,χat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48.0,wind (n.),*lüzgär bor,,,,,,,,,,,lüzgär bor,,,,,,,,,,,,,,,,rüzgâr bor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48.0,wind (n.),*šamal bor,,,,,,,,,,,,samal bor,,,,,,šamal bor,,,,,,,,,,,,šamal bor,šamɔl bor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49.0,smoke (n.),*ka(C)i-pu- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kemuri,keburi,xïbusi,kɨbuusɨ,siɴbusi,kibuusi,kibusi,kivsï,kibusï,kiboosi,khíbunci,"kemui, kebui,kebi",kebui,"keburi, kemui",kemuri,juburi,,,,,,,,,,,
49.0,smoke (n.),*nʌy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yenki,nay,neykwuli,neykwuli,neykwuli,neykwuli,nay,yenki,nayngkal,nayngki,yenkay,nay,nay,nay,yenki,noy,,,,,,,,,,,,,,,,,,,,,,,,,,,
49.0,smoke (n.),*saŋńan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,čaŋnian,saŋńa(n),saŋńa,saŋńan,saŋńan,saŋńa(n),saŋnaka,saŋńa(n),šaŋgia,šaŋgijan,saŋən,haːńin,šaŋaŋ,saŋnan,saŋńan,haŋńan,haŋɲan,saňnûn,saŋńan,šaŋŋan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,saŋńan,saŋɲan,sanŋin / sanɲa,
49.0,smoke (n.),*putu-ga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uta:(n),uta:n,uta:n,uta:n,utān, utā ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49.0,smoke (n.),*puni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unin,,,,,,,,,xunin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49.0,smoke (n.),*tüt,tötin,tutum,tüdök,tütün,,tüstü,tötön,tɘʷdɘʷm,tütün,,tütün,tütin,tütün,tütün,tütĭn,tüdün,titün,tütün,tütün,tüdün,tütin,cücün,,tüdün,töten,,,tüsse,,,tutun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49.0,smoke (n.),*buruk,,,,,,,,,,buruo,,,,,,,,,,,,,,,,,,,,,,buruo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49.0,smoke (n.),*iyis,,,,,ïš,,,,,,,,,,,ïs,,,,,,,ïs,,,ïš,,,ïš,is,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49.0,smoke (n.),*tuman,,,,,,,,,,,,,,,,,,,,,,,,,,,duman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0,what?,*mɨsɨ kes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mwe,mwe,mwusiki,mwusiki,mwe,mwe,mwusike,me,me,me,me,me,me,mwues,mwusiki,musu kes,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0,what?,*xa-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ia,jaː,jˀəu (jˀə-),haj,eːma,haị,hai,χaj,,ai,ai,iak,ụhụŋ,ikun,əːkuːn,eːkun,eːkun,èkun,eːhun ~ eːkun ~ eː,ekụn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,əːkuːn,əːkʉːn,,
50.0,what?,*ya-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ju:,ju:n,ju:n,ju:n, yum , jeə,ima,jaŋ,ian,yang,jaan,"jaŋ, jɔ, jama",yem(ä),ja’u(n),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
