Number,Meaning,MRCA Root,BarabaTatar,CodexCumanicus,NorthAltai,OldTurkic,SouthAltai,Azeri,Bashkir,Chuvash,CrimeanTatar,Dolgan,Gagauz,KaraKalpak,KarachayBalkar,Karaim,Kazakh,Khakas,Khalaj,Kirghiz,Kumyk,MiddleChulym,Nogai,Salar,WestYugur,Shor,KazanTatar,Tofa,Turkish,Turkmen,Tuvan,Uyghur,Uzbek,Yakut,Khalkha,Buriat,Kalmyck,Oirat,Kamnigan,Dagur,Shira-Yughur,Baoan,Dongxian,Minhe,Huzhu,Kangjia,Moghol,Middle Mongolian (Secret History),Middle Mongolian (Muqaddimat al-adab),Hezhe,Oroch,Udihe,Nanai (Middle Amur),Kur-Urmi,Nanai (Bikin),Orok,Ulcha,Jurchen,Manchu,Xibe,Even,Solon,Evenki (Kamnigan),Stony Evenki (PT = Podkamennaya Tunguska),Southern Evenki (Chiringda),Northern Evenki (Tutonchany),Northern Evenki (Tura),Negidal,Oroqen,Korean,Hwanghae,Southern Hamgyong,Northern Hamgyong,Southern Pyongan,Northern Pyongan,Jeju,Southern Jeolla,Northern Jeolla,Southern Gyeongsang,Northern Gyeongsang,Southern Chungcheong,Northern Chungcheong,Gyeonggi,Gangwon,(Late) Middle Korean,Japanese,Old Japanese,Amami Yamatohama ,Amami Asama,Amami Yoron,Okinawa Yonamine,Okinawa Shuri,Miyako Irabu,Yaeyama Ishigaki,Yaeyama Hatoma,Yonaguni,Kagoshima,Koshiki islands,Kumamoto,Fukuoka,Hachijo,,,,,,,,Eastern Evenki ,,"Southern Evenki  (Vershina-Tutury, Baikal)",
2.0,nose (n.),*niaksa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ŋikso,ŋö,,,,,waksa,,,,,niːnša,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,nose (n.),*soŋgi-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,suŋgi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,nose (n.),*xoŋa-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ọŋat,,oŋokto,oŋokto,oŋoktɒ,oŋokto,oňokto,oŋokto,ɔŋɔktɔ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,oŋokto,oŋokto,oŋokto,ɒŋokto
2.0,nose (n.),*opora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ofurə,,,oporo,oforo,oforo,,,,oforo,ovur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,nose (n.),*kabar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,xamar,xamar,xamr,xamar,kamar,hamara,xawar,xawar,qawa,khaber,hawari,χuar,qabar,qabar,qabar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,nose (n.),*kaŋ-,,,,,,,,,,,,,,,,,,,,,,,ḳaŋrïḳ,,,haay,,,χaay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,nose (n.),*burun ~ *burïn,"morïn, murïn",burun,burun,burun,,burun,,,burun,munnu,burnu,murïn,burun,burun,murïn,purun,burïn,murun,burun,purun,burïn,purnï,,purnu,borïn,,burun,burun,,burun,burun,murun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,nose (n.),*tumčuk,,,,,tumčuḳ,,,,,,,,,,,,,,,,,,,,,,,,dumčuḳ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,nose (n.),*tanaɣa bor,,,,,,,tanaw bor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,nose (n.),*samsaɣa bor,,,,,,,,səʷmza bor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,go (v.),*ka-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ka-,ka-,ka-,ka-,ka-,ka-,ka-,ka-,ka-,ka-,ka-,ka-,ka-,ka-,ka-,ka-,ik-,yuk-,Ɂixjuri,Ɂikjuɴ,ikjuɴ,hicuɴ,Ɂicuɴ,ifu,ikuɴ ,,,iʔ,iku,iku,iku,iku,,,,,,,,,,,
3.0,go (v.),*gene-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ənə-,ŋənə-,ŋənə-,ənə-,ənə-,ənə-,ŋənə-,ŋənə-,gəniə,gənə-,gənə-,ŋen-,nənə-,nənə-,gənə- ~ mənə-,ŋənə-,ŋənə-,ňènè-,ŋənə-,ŋənə-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ŋənə-,ŋənə-,ŋənə-,ŋənə-
3.0,go (v.),*oci-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,iči,,ʥi,ətʂɯ,ɕi,ɕdʑə ~ ɕə,ʤi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,go (v.),*od-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,od-,,,,ɵd-,,,,,,ot-,ot- ~ od-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,go (v.),*yabu-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yav-,yaba-,yov-,yov-,yabu- ~ yaba-,yaw-,yawə,,,yao,,,yobu-,yabu-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,go (v.),*bar-,bar,bar,par,bar,bar,,bar,pïr,bar,bar,,bar,bar,bar,bar,par,var,bar,bar,par,bar,bar,par,par,bar,bar,,bar,bar,bar,bɔr,bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paruɴ,paruɴ,hìrun,,,,,,,,,,,,,,,,
3.0,go (v.),*yorï- ~ *yuri-,yör,,,,,,,,,,,,,,,,,ǰürü,,,,,,,,,,,čoru,,yur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,go (v.),*ket-,,,,,,ǵet,kit,,ket,,git,ket,,ket,ket,,,,,,,,,,,,git,git,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,water (n.),*me-ntu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mizu,mi ~ midu,mïzï,mɨzɨɨ,mizi,mizii,mizi,mizï,mizï,mizi,mín,miʔ,mizu,mizu̥,midzu,midzu,,,,,,,,,,,
4.0,water (n.),*mor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mukə,muː,,muə,mukə,mukə,mọː ~ muː,muː,mukə,mukə,muku,mo,mu,muː,muː,muː,muː,mu,muː,muː,mwul,mwul,mwul,mwul,mwul,mwul,mwul,mwul,mwul,mwul,mwul,mwul,mwul,mwul,mwul,mul,,,,,,,,,,,,,,,,,,,,,,,,muː,mʉ,muː,muː
4.0,water (n.),*usun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,us(an) ,uhan,usn,usn,ohu, oso,qusun,sə,usu,sdzu,ʂʣu,su ~ sy,usun,usun,usun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,water (n.),*sïb,su,su,suɣ,suv,suu,su,hïw,šïv,suw,uu,su,suw,suw,suv,su,suɣ,suw,suu,suw,suɣ,suw,su,su,suɣ,su,suɣ,su,suw,suɣ,su,suv,uu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,mouth (n.),*kuti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kuti,kuti,kuci,kucɨɨ,kuci,kucii,kuci,fucï,ɸucï,huci,ttíi,kuɁ,kutɕi,kutɕi̥̥,ku̥tɕi,ku̥tɕi,,,,,,,,,,,
5.0,mouth (n.),*ip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ip,ip,ip,ip,ip,ip,ip,ip,ip,ip,ip,ip,ip,ip,ip,ip,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,mouth (n.),*ama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,am(an) ,aman,amn,aman,aman, ama,aman,amaŋ,aman  ,ama,ama,amɔ,aman ~ amun,aman,aman,amŋə,amma,aŋma,aŋma,amŋa,amga,aŋma,aŋma,aŋga,aŋga,aŋ,amŋa,amma,amŋa,amŋa,amŋa,amŋa,amňa,amŋa,amŋa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,amŋa,amŋa,amŋa,amŋa
5.0,mouth (n.),*agïŕ,awïs,agis,aɣïs,aɣïz,oos,aɣïz,awïδ,,aɣïz,,a:z,awïz,awuz,avuz,awïz,aas,a:ɣïz,ooz,awuz,a:ɣəs,awïz,aɣïz,"aɣïs, aχs",aḳsï,awïz,aas,aɣïz,aɣïz,aas,eɣiz,ɔɣiz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,mouth (n.),*ańak,,,,,,,,,,ańak,,,,,,,,,,,,,,,,,,,,,,aỹaχ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,mouth (n.),*yü:ŕ,,,,,,,,śəʷvar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,tongue (n.),*sita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sita,sita,,,sicja,,,sïta,sïta,sita,ttàa,ɕi̥ta,ɕi̥ta ~ hi̥ta,ɕi̥ta,ɕi̥ta,ɕi̥ta,,,,,,,,,,,
6.0,tongue (n.),*sunpa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sïba,sɨbaa,,subaa,siba,,,,,,,,,,,,,,,,,,,,
6.0,tongue (n.),*xile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,iləŋgu,iŋi,iŋi,siŋmu,iləŋgu,sirmə,sinu,sińu,iləŋgi,iləŋgu,iliŋ,ienŋe,iŋi,inni,inni,,,,ińńi ~ ińŋi,iŋŋi,hye,sey,sey,sey,sey,sey,seyppatak,seyppatak,seyppatak,sey,hey,seppatak,seppatak,seppatak,hye,hye,,,,,,,,,,,,,,,,,,,,,,,,inŋi ~ inni,ɨnŋɨ ~ ɨnːɨ,iŋi,iŋi
6.0,tongue (n.),*čoːliː,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,čoliː,soːliː,čoli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,tongue (n.),*kele,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,xel(en),xelen,keln,kelen,kələn, keli,kelen,kelaŋ,kiəliən,kelie,kəle,kiliɔ,kelȧn,kelen,kelen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,tongue (n.),*til ~ tïl,til,til,til,tïl,til,dil,tel,čɘlɣe,til,tïl,dil,til,til,til,tĭl,tɘl,til,til,til,tɘl,til,cil,tel,til,tel,dïl,dil,dil,dïl,til,til,tïl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.0,blood (n.),*piki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,phi,phi,phi,phi,phi,phi,phi,phi,phi,phi,phi,phi,phi,phi,phi,phi,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.0,blood (n.),*se: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,səksə,səːksə,sakä,səːksə,səksə,səːksə,səːksə,səːksə,šəŋgi,səŋgi,siŋ,,šəːšši,səːksə,səːksə,hoxsə,hoːkśə,sèksè,sọːksə ~ səːksə,šəːkšə,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,səːksə ~ səːhə,səːksə ~ səːhə,soːxə,soːxə
7.0,blood (n.),*xuŋi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,huŋel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.0,blood (n.),*ti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cus(an),šuhan,cusn,cusan,čihun,čos,ʧusun,ʨisɵŋ,tʂusun,tʂudzi,tɕisə,tʃisun,čusun,čisun,cisun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ti,ti,ci(i),Cɨɨ,cii,cii,cii,ahacï(ï),cïï,sii,ccíi,tɕiː,tɕi,tɕiː,tɕi,tɕi,,,,,,,,,,,
7.0,blood (n.),*ka:n,ḳan,kan,ḳan,ḳan,ḳan,ġan,ḳan,yun,ḳan,kaan,kan,ḳan,ḳan,kan,ḳan,χan,ḳa:n,ḳan,ḳan,ḳan,ḳan,ḳan,ḳan,ḳan,ḳan,ḳan,kan,ġa:n,χan,ḳan,ḳɔn,χa:n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.0,bone (n.),*peni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ppye,ppey,ppey,ppey,ppey,ppey,kkwang,ppitakwu,ppey,ppeyktakwu,pikangci,ppey,ppay,ppey,ppey,spye ~ spyey,hone,pone,hunï,huunɨ,puni,puni,huni,puni,puni,puni,hûni,hone,hone,hone,hone,hone,,,,,,,,,,,
8.0,bone (n.),*giram ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,giamsə,giamsa,gäma,germaksa,gịramna ~ gịrmaksa,gịrmasa,girapsa,geramsa,giraŋgi,giraŋgi,giraŋ,,girand,giramda,geramda ~ giramna,giramda,giramda,giramna,,geramna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,giramna,giramna,giramɲa,giramɲa
8.0,bone (n.),*xiːkeri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ikeri,,,,,,,iːhəj ~ iːkəji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.0,bone (n.),*yasun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yas(an),yahan,yasn,yasan,yahun ,yas,yasən,yasɵŋ,iasun,yaGsi,yaasi,yasun ~ yatsun,yo:sun,yasun ,yasun ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.0,bone (n.),*siŋök,süök,souat,söök,süŋük,söök,sümük,höyäk,šəʷməʷ,,oŋuok,,süyek,süyek,sivek,süyek,söök,,söök,süyek,söök,süjek,seniχ,sïmïḳ,sö:k,söyäk,söök,,süŋk,söök,söŋäk,suyak,uŋuoχ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.0,bone (n.),*kemük,,,,,,,,,kemik,,kemik,,,,,,,,,,,,,,,,kemik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,2SG pronoun,*nuti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nuɕi,,,,,,,,,,,,,
